序號,廠商名稱,廠商所轄衛生局,產品名稱,國產或進口,業者切結(0未切結1有切結),判定結果,備註
7,建豐,台北市,老K葵花油,國產,1,不合格,
8,建豐,台北市,葵花油,國產,1,不合格,
9,佳成食品廠,台北市,純正香蔴油,國產,1,不合格,
24,淡水永吉蔴油行,新北市,黑麻油,國產,1,不合格,
25,淡水永吉蔴油行,新北市,純小磨香油,國產,1,不合格,
28,鎧逸,新北市,真老香麻油,國產,1,不合格,
29,鎧逸,新北市,真老胡麻油,國產,1,不合格,
30,建國,桃園縣,黑麻油,國產,1,不合格,
33,惠家香,桃園縣,惠家香苦茶油,採樣分裝,1,不合格,
34,惠家香,桃園縣,苦茶油,國產,1,不合格,
35,惠家香,桃園縣,純胡蔴油,國產,1,不合格,
36,惠家香,桃園縣,寶力士特優葵花油,國產,1,不合格,
38,東豐製油廠,嘉義縣,胡麻油(標示純正100%),國產,1,不合格,
39,醇芳,台中市,黑麻油,國產,1,不合格,
40,醇芳,台中市,香油,國產,1,不合格,
41,隆安,台中市,大家買胡麻油,國產,1,不合格,
43,福懋,台中市,聖麥克橄欖油(500 ml),進口,1,不合格,
44,福懋,台中市,聖麥克橄欖油(1加侖),進口,1,不合格,
45,福懋,台中市,芙倫斯橄欖油,進口,1,不合格,
46,福懋,台中市,益康橄欖油,進口,1,不合格,
47,福懋,台中市,福懋漢氏橄欖油(1000 ml),進口,1,不合格,
48,福懋,台中市,天然橄欖油(福懋漢氏原味橄欖油),進口,1,不合格,
66,金世元實,嘉義縣,100%葵花油,國產,1,不合格,
67,理想農產,嘉義縣,橄欖油,國產,1,不合格,
74,恆記蔴油行,屏東縣,黑蔴油,國產,1,不合格,
3,三多士,台北市,三多純橄欖油1000cc,進口-原裝,1,合格,
4,味全,台北市,健康廚房葡萄籽油,進口-原裝,1,合格,
5,味全,台北市,健康廚房橄欖油(1.5公升塑膠瓶),進口-分裝,1,合格,
6,建豐,台北市,100%特級純橄欖油,國產,1,合格,
10,家福,台北市,家福西班牙冷壓橄欖油   C-Spanish Virgin Olive Oil,進口,1,合格,
11,家福,台北市,家樂福特級初榨橄欖油,進口,1,合格,
12,家福,台北市,家福西班牙初榨橄欖油-圓潤口感Spanish Extra Virgin Olive Oil-Mild,進口,1,合格,
13,宏常,台北市,萊瑞100%特級純橄欖油,進口-原裝,1,合格,
14,聯馥,台北市,龐世特級冷壓橄欖油 Extra Virgin Olive Oil,進口-原裝,1,合格,
15,勝玲津,台北市,聖多美有機特級橄欖油第一道冷壓低油酸無農藥,進口-原裝,0,合格,
17,阿格利司,新北市,特級初榨橄欖油  Extra Virgin First Gold Press,進口,1,合格,
31,德記,桃園縣,苦茶油,國產,0,合格,
32,德記,桃園縣,花生油,國產,0,合格,
37,福壽,台中市,福壽100%葵花油,國產,1,合格,
49,承宇,台中市,100%純花生油,國產,1,合格,
50,世傳農產加工廠,南投縣,苦茶油,國產,1,合格,
51,泰山,彰化縣,DOMINGO進口純葡萄籽油,進口-分裝,1,合格,
52,泰山,彰化縣,健康好理由100%葡萄籽油,進口-原裝,1,合格,
61,裕昌,雲林縣,黑麻油,國產,1,合格,
62,元品,雲林縣,苦茶油,國產,1,合格,
63,新南發油工廠,嘉義縣,花生油,採樣分裝,1,合格,
64,宏泰製油廠,嘉義縣,苦茶油,國產,1,合格,
65,能興製油廠,嘉義縣,正純100%黃金亞麻仁油,國產,1,合格,
69,台灣糖業,高雄市,台糖大豆沙拉油,國產,1,合格,
71,台灣糖業,高雄市,台糖不飽和優質葵花油,國產,1,合格,
72,維義事業,高雄市,維義特級初榨橄欖油,國產,1,合格,
73,九品元,高雄市,九品元特選白芝麻油,國產,0,合格,
76,正義股份有限公司,高雄縣,寶素齋100%純葡萄籽油,進口-原裝,1,合格,
53,大統長基,彰化縣,現場橄欖油,國產,0,大統,
54,大統長基,彰化縣,大統特級橄欖油,進口-分裝,0,大統,
55,大統長基,彰化縣,大統健康葵花油,國產,0,大統,
56,大統長基,彰化縣,大統特級橄欖油,國產,0,大統,
57,大統長基,彰化縣,大統優質醇鮮綠橄欖油,國產,0,大統,
58,大統長基,彰化縣,大統冷壓鮮綠黃金苦茶籽油,國產,0,大統,
59,大統長基,彰化縣,大統胡麻油,國產,0,大統,
60,大統長基,彰化縣,大統優植醇鮮100%純葵花油,國產,0,大統,
70,台灣糖業,高雄市,台糖葡萄籽油,國產,1,大統,
18,富味鄉,新北市,聯香一級芝麻油,國產,0,富味鄉,原始資料的「判定結果」就是註明「富味鄉」，而不是「合格」、「不合格」、「檢驗中」
19,富味鄉,新北市,聯香特級芝麻油,國產,0,富味鄉,原始資料的「判定結果」就是註明「富味鄉」，而不是「合格」、「不合格」、「檢驗中」
20,富味鄉,新北市,特級黑麻油3K(6) 成品,國產,0,富味鄉,原始資料的「判定結果」就是註明「富味鄉」，而不是「合格」、「不合格」、「檢驗中」
21,富味鄉,新北市,富味鄉聯成黑麻油,國產,0,富味鄉,原始資料的「判定結果」就是註明「富味鄉」，而不是「合格」、「不合格」、「檢驗中」
22,富味鄉,新北市,富味鄉一級黑麻油(3公升),國產,0,富味鄉,原始資料的「判定結果」就是註明「富味鄉」，而不是「合格」、「不合格」、「檢驗中」
23,富味鄉,新北市,富味鄉黑麻油(麻B18),國產,0,富味鄉,原始資料的「判定結果」就是註明「富味鄉」，而不是「合格」、「不合格」、「檢驗中」
1,協豐,宜蘭縣,苦茶油-原料,採樣分裝,1,檢驗中,
2,協豐,,苦茶油-成品,國產,1,檢驗中,
16,淼泉,新北市,冷壓黃金亞麻籽油,國產,0,檢驗中,
26,辰邦,新北市,葵花油(金葫蘆),國產,1,檢驗中,
27,辰邦,新北市,苦茶油,國產,1,檢驗中,
68,永義發製油廠,高雄市,100%胡麻油,國產,1,檢驗中,
75,瑞昇實業社,高雄縣,(瑞)純黑麻油,國產,1,檢驗中,
42,道揚,台中市,純天然椰子健康油,國產,0,移檢調下架,